#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	NPupils	Priori	Special
387 36 0 70 - 2 2 1 1 -1 60 - 0 - 
388 36 0 70 - 2 3 1 1 -1 60 - 0 - 
391 36 0 70 - 2 4 1 1 -1 60 - 0 - 
392 36 0 70 - 2 5 1 1 -1 60 - 0 - 
393 36 0 70 - 4 4 1 1 -1 60 - 0 - 
394 36 0 70 - 4 5 1 1 -1 60 - 0 - 
591 54 0 70 - 1 6 1 1 -1 60 - 0 - 
592 54 0 70 - 1 7 1 1 -1 60 - 0 - 
593 54 0 70 - 3 6 1 1 -1 60 - 0 - 
594 54 0 70 - 3 7 1 1 -1 60 - 0 - 
667 55 0 38 - 3 2 1 1 -1 60 - 0 - 
668 55 0 38 - 3 3 1 1 -1 60 - 0 - 
679 55 0 38 - 2 4 1 1 -1 60 - 0 - 
680 55 0 38 - 2 5 1 1 -1 60 - 0 - 
684 55 0 38 - 3 6 1 1 -1 60 - 0 - 
685 55 0 38 - 3 7 1 1 -1 60 - 0 - 
696 58 0 38 - 2 2 1 1 -1 60 - 0 - 
697 58 0 38 - 2 3 1 1 -1 60 - 0 - 
698 58 0 38 - 4 4 1 1 -1 60 - 0 - 
699 58 0 38 - 4 5 1 1 -1 60 - 0 - 
701 58 0 38 - 2 4 1 1 -1 60 - 0 - 
702 58 0 38 - 2 5 1 1 -1 60 - 0 - 
711 60 0 38 - 4 8 1 1 -1 60 - 0 - 
712 60 0 38 - 4 9 1 1 -1 60 - 0 - 
747 48 0 25 - 5 4 2 2 -1 50 - 0 - 
748 48 0 25 - 5 5 2 2 -1 50 - 0 - 
771 49 0 25 - 5 14 2 2 -1 50 - 0 - 
772 49 0 25 - 5 15 2 2 -1 50 - 0 - 
1223 89 0 23 - 2 2 2 2 -1 40 - 0 - 
1224 89 0 23 - 2 3 2 2 -1 40 - 0 - 
1225 89 0 23 - 4 2 2 2 -1 40 - 0 - 
1226 89 0 23 - 4 3 2 2 -1 40 - 0 - 
1467 89 0 23 - 1 2 2 2 -1 40 - 0 - 
1468 89 0 23 - 1 3 2 2 -1 40 - 0 - 
1469 89 0 23 - 3 2 2 2 -1 40 - 0 - 
1470 89 0 23 - 3 3 2 2 -1 40 - 0 - 
1471 95 0 23 - 1 12 2 2 -1 40 - 0 - 
1472 95 0 23 - 1 13 2 2 -1 40 - 0 - 
1473 95 0 23 - 3 12 2 2 -1 40 - 0 - 
1474 95 0 23 - 3 13 2 2 -1 40 - 0 - 
1479 95 0 23 - 2 14 2 2 -1 40 - 0 - 
1480 95 0 23 - 2 15 2 2 -1 40 - 0 - 
1481 95 0 23 - 4 14 2 2 -1 40 - 0 - 
1482 95 0 23 - 4 15 2 2 -1 40 - 0 - 
1485 94 0 23 - 2 12 2 2 -1 40 - 0 - 
1486 94 0 23 - 2 13 2 2 -1 40 - 0 - 
1487 94 0 23 - 4 12 2 2 -1 40 - 0 - 
1488 94 0 23 - 4 13 2 2 -1 40 - 0 - 
1489 90 0 23 - 1 2 2 2 -1 40 - 0 - 
1490 90 0 23 - 1 3 2 2 -1 40 - 0 - 
1491 90 0 23 - 3 2 2 2 -1 40 - 0 - 
1492 90 0 23 - 3 3 2 2 -1 40 - 0 - 
1747 135 0 172 - 2 9 14 2 -1 40 - 0 - 
1748 135 0 172 - 2 10 14 2 -1 40 - 0 - 
1749 135 0 172 - 2 11 14 2 -1 40 - 0 - 
1750 135 0 172 - 2 12 14 2 -1 40 - 0 - 
1847 146 0 169 - 1 6 1 1 -1 60 - 0 - 
1848 146 0 169 - 1 7 1 1 -1 60 - 0 - 
1849 146 0 169 - 3 6 1 1 -1 60 - 0 - 
1850 146 0 169 - 3 7 1 1 -1 60 - 0 - 
1869 146 0 169 - 4 6 1 1 -1 60 - 0 - 
1870 146 0 169 - 4 7 1 1 -1 60 - 0 - 
1871 146 0 169 - 4 8 1 1 -1 60 - 0 - 
1872 146 0 169 - 4 9 1 1 -1 60 - 0 - 
1879 147 0 169 - 3 8 1 1 -1 60 - 0 - 
1887 148 0 169 - 3 6 1 1 -1 60 - 0 - 
1888 148 0 169 - 3 7 1 1 -1 60 - 0 - 
1897 148 0 169 - 3 4 1 1 -1 60 - 0 - 
1898 148 0 169 - 3 5 1 1 -1 60 - 0 - 
1903 148 0 169 - 2 2 1 1 -1 60 - 0 - 
1904 148 0 169 - 2 3 1 1 -1 60 - 0 - 
1905 148 0 169 - 4 2 1 1 -1 60 - 0 - 
1906 148 0 169 - 4 3 1 1 -1 60 - 0 - 
1907 148 0 169 - 2 4 1 1 -1 60 - 0 - 
